1,Acetaldehído,C2H4O,44053,0-30% (18°C)
2,Acetamida,C2H5NO,59068,0-6% (15°C)
3,Acetato de metilo,C3H6O2,74079,0-20% (20°C)
4,Acetato de amonio,CH3COONH4,77083,0-45% (25°C)
5,Acetato de plomo(II),Pb(C2H3O2)2,325.3,
6,Acetato de plomo(IV),Pb(C2H3O2)4,443.4,
7,Acetato de sodio,NaC2H3O2,82.03,0-28% (20°C)
8,Acetona,C3H6O,58080,0-100% (20°C)
9,Acetonitrilo,C2H3N,41053,0-16% (15°C)
10,Ácido acético,CH3COOH,60052,0-100% (20°C)
11,Ácido bromhídrico,HBr,80912,0-65% (25°C)
12,Ácido butírico,C4H8O2,88106,0-62% (25°C)
13,Ácido cianhídrico,HCN,27026,0-16% (15°C)
14,Ácido cítrico,C6H8O7,192123,0-55% (20°C)
15,Ácido clorhídrico,HCl,36.46,0-40% (20°C)
16,Ácido cloroacético,C2H3ClO2,94.49,0-32% (20°C)
17,Ácido cloroplatínico,H2PtCl6,409.80,
18,Ácido dicloroacético,C2H2Cl2O2,128.94,0-30% (20°C)
19,Ácido fluorhídrico,HF,20006,0-50% (20°C)
20,Ácido fórmico,CH2O2,46025,0-100% (20°C)
21,Ácido fosfórico,H3PO4,97994,0-100% (20°C)
22,Ácido hexafluorosilícico,H2SiF6,144089,0-34% (17.5°C)
23,Ácido láctico,C3H6O3,90078,0-80% (20°C)
24,Ácido maleico,C4H4O4,116072,0-40% (25°C)
25,Ácido malónico,C3H4O4,104061,0-40% (20°C)
26,Ácido nítrico,HNO3,63012,0-100% (20°C)
27,Ácido oxálico,H2C2O4,90034,0-10% (17.5°C)
28,Ácido perclórico,HClO4,100.45,0-70% (15°C)
29,Ácido sulfúrico,H2SO4,98.07,0-100% (20°C)
30,Ácido sulfuroso,H2SO3,82.07,
31,Ácido tartárico,H2C4H4O6,150086,0-56% (15°C)
32,Ácido tetracloroáurico,HAuCl4,339.78,
33,Ácido tricloroacético,CCl3COOH,163.38,0-48% (20°C)
