1,Hidrogen,H,1008,7,3,1,2.2,-259.1,-252.9,72.8,1312,53,,,0.0899,0.01805,14300,75,1766
2,Heli,He,4.0026,8,3,2,,,-269,0,2372.3,31,,,0.1785,0.1513,5193.1,23,1895
3,Liti,Li,6.94,1,1,"2,1",0.98,180.54,1342,59.6,520.2,167,,11,535,85,3570,0.0000006,1817
4,Beril·li,Be,9.0122,2,1,"2,2",1.57,1287,2470,0,899.5,112,600,130,1848,190,1820,0.0000001,1797
5,Bor,B,10.81,9,1,"2,3",2.04,2075,4000,26.7,800.6,87,,320,2460,27,1030,0.0000001,1808
6,Carboni,C,12011,7,1,"2,4",2.55,3642,3642,153.9,1086.5,67,,33,2260,140,710,0.5,3750
7,Nitrogen,N,14007,7,3,"2,5",3.04,-210.1,-195.8,7,1402.3,56,,,1251,0.02583,1040,0.1,1772
8,Oxigen,O,15999,7,3,"2,6",3.44,-218,-183,141,1313.9,48,,,1429,0.02658,919,1,1774
9,Fluor,F,18998,7,3,"2,7",3.98,-220,-188.1,328,1681,42,,,1696,0.0277,824,0.00004,1886
10,Neó,Ne,20.18,8,3,"2,8",,-248.6,-246.1,0,2080.7,38,,,0.9,0.0491,1030,0.13,1898
11,Sodi,Na,22.99,1,1,"2,8,1",0.93,97.72,882.9,52.8,495.8,190,0.69,6.3,968,140,1230,2,1807
12,Magnesi,Mg,24305,2,1,"2,8,2",1.31,650,1090,0,737.7,145,260,45,1738,160,1020,0.06,1755
13,Alumini,Al,26982,6,1,"2,8,3",1.61,660.32,2519,42.5,577.5,118,245,76,2700,235,904,5,1825
14,Silici,Si,28085,9,1,"2,8,4",1.9,1414,2900,133.6,786.5,111,,100,2330,150,710,0.07,1824
15,Fòsfor,P,30974,7,1,"2,8,5",2.19,44.15,280.5,72,1011.8,98,,11,1823,236,769.7,0.0007,1669
16,Sofre,S,32.06,7,1,"2,8,6",2.58,115.21,444.72,200,999.6,88,,7.7,1960,205,705,0.05,500
17,Clor,Cl,35.45,7,3,"2,8,7",3.16,-101.5,-34.04,349,1251.2,79,,1.1,3214,0.0089,478.2,0.0001,1774
18,Argó,Ar,39948,8,3,"2,8,8",,-189,-186,0,1520.6,71,,,1784,0.01772,520.33,0.02,1894
19,Potassi,K,39098,1,1,"2,8,8,1",0.82,63.38,758.9,48.4,418.8,243,363,3.1,856,100,757,0.0003,1807
20,Calci,Ca,40078,2,1,"2,8,8,2",1,841.9,1484,2.37,589.8,194,167,17,1550,200,631,7,1808
21,Escandi,Sc,44956,5,1,"2,8,9,2",1.36,1541,2830,18.1,633.1,184,750,57,2985,16,567,0.000003,1879
22,Titani,Ti,47867,5,1,"2,8,10,2",1.54,1668,3287,7.6,658.8,176,716,110,4507,22,520,0.0003,1791
23,Vanadi,V,50942,5,1,"2,8,11,2",1.63,1910,3407,50.6,650.9,171,628,160,6110,31,489,0.0001,1801
24,Crom,Cr,51996,5,1,"2,8,13,1",1.66,1907,2671,64.3,652.9,166,1120,160,7190,94,448,0.0015,1797
25,Manganès,Mn,54938,5,1,"2,8,13,2",1.55,1246,2061,0,717.3,161,196,120,7470,7.8,479,0.0008,1774
26,Ferro,Fe,55845,5,1,"2,8,14,2",1.83,1538,2861,15.7,762.5,156,490,170,7874,80,449,0.11,2000
27,Cobalt,Co,58933,5,1,"2,8,15,2",1.88,1495,2900,63.7,760.4,152,700,180,8900,100,421,0.0003,1735
28,Níquel,Ni,58693,5,1,"2,8,16,2",1.91,1455,2913,112,737.1,149,700,180,8908,91,445,6,1751
29,Coure,Cu,63546,5,1,"2,8,18,1",1.9,1084.62,2562,118.4,745.5,145,874,140,8960,400,384.4,0.000006,8000
30,Zinc,Zn,65.38,5,1,"2,8,18,2",1.65,419.53,906.9,0,906.4,142,412,70,7140,120,388,0.00003,1500
31,Gal·li,Ga,69723,6,1,"2,8,18,3",1.81,29.76,2204,28.9,578.8,136,60,,5904,29,371,0.000001,1875
32,Germani,Ge,72.63,9,1,"2,8,18,4",2.01,938.25,2820,119,762,125,,,5323,60,321.4,0.00002,1886
33,Arsènic,As,74922,9,1,"2,8,18,5",2.18,816.9,614,78,947,114,1440,22,5727,50,328,0.0000008,1250
34,Seleni,Se,78971,7,1,"2,8,18,6",2.55,221,685,195,941,103,736,8.3,4819,0.52,321.2,0.000003,1817
35,Brom,Br,79904,7,2,"2,8,18,7",2.96,-7.35,58.9,324.6,1139.9,94,,1.9,3120,0.12,947.3,0.0000007,1826
36,Criptó,Kr,83798,8,3,"2,8,18,8",3,-157.36,-153.22,0,1350.8,88,,,3.75,0.00943,248.05,0.000004,1898
37,Rubidi,Rb,85468,1,1,"2,8,18,8,1",0.82,39.31,688,46.9,403,265,,2.5,1532,58,364,0.000001,1861
38,Estronci,Sr,87.62,2,1,"2,8,18,8,2",0.95,776.9,1382,5.03,549.5,219,,,2630,35,300,0.000004,1790
39,Itri,Y,88906,5,1,"2,8,18,9,2",1.22,1526,3345,29.6,600,212,589,41,4472,17,298,0.0000007,1794
40,Zirconi,Zr,91224,5,1,"2,8,18,10,2",1.33,1855,4409,41.1,640.1,206,650,,6511,23,278,0.000005,1789
41,Niobi,Nb,92906,5,1,"2,8,18,12,1",1.6,2477,4744,86.1,652.1,198,736,170,8570,54,265,0.0000002,1801
42,Molibdè,Mo,95.95,5,1,"2,8,18,13,1",2.16,2623,4639,71.9,684.3,190,1500,230,10280,139,251,0.0000005,1781
43,Tecneci,Tc,98,5,1,"2,8,18,13,2",1.9,2157,4265,53,702,183,,,11500,51,63,0,1937
44,Ruteni,Ru,101.07,5,1,"2,8,18,15,1",2.2,2334,4150,101.3,710.2,178,2160,220,12370,120,238,0.0000004,1844
45,Rodi,Rh,102.91,5,1,"2,8,18,16,1",2.28,1964,3695,109.7,719.7,173,1100,380,12450,150,240,0.00000006,1803
46,Pal·ladi,Pd,106.42,5,1,"2,8,18,18",2.2,1554.9,2963,53.7,804.4,169,37.3,180,12023,72,240,0.0000002,1803
47,Argent,Ag,107.87,5,1,"2,8,18,18,1",1.93,961.78,2162,125.6,731,165,24.5,100,10490,430,235,0.00000006,3000
48,Cadmi,Cd,112.41,5,1,"2,8,18,18,2",1.69,321.07,766.9,0,867.8,161,203,42,8650,97,230,0.0000002,1817
49,Indi,In,114.82,6,1,"2,8,18,18,3",1.78,156.6,2072,28.9,558.3,156,8.83,,7310,82,233,0.00000003,1863
50,Estany,Sn,118.71,6,1,"2,8,18,18,4",1.96,231.93,2602,107.3,708.6,145,51,58,7310,67,217,0.0000004,3000
51,Antimoni,Sb,121.76,9,1,"2,8,18,18,5",2.05,630.63,1587,103.2,834,133,294,42,6697,24,207,0.00000004,3000
52,Tel·luri,Te,127.6,9,1,"2,8,18,18,6",2.1,449.51,987.9,190.2,869.3,123,180,65,6240,3,201,0.0000009,1783
53,Iode,I,126.9,7,1,"2,8,18,18,7",2.66,113.7,184.3,295.2,1008.4,115,,7.7,4940,449,429,0.0000001,1811
54,Xenó,Xe,131.29,8,3,"2,8,18,18,8",2.6,-111.8,-108,0,1170.4,108,,,5.9,0.00565,158.32,0.000001,1898
55,Cesi,Cs,132.91,1,1,"2,8,18,18,8,1",0.79,28.44,671,45.5,375.7,298,0.14,1.6,1879,36,242,0.00000008,1860
56,Bari,Ba,137.33,2,1,"2,8,18,18,8,2",0.89,730,1870,13.95,502.9,253,,9.6,3510,18,205,0.000001,1808
57,Lantani,La,138.91,3,1,"2,8,18,18,9,2",1.1,919.9,3464,48,538.1,,363,28,6146,13,195,0.0000002,1839
58,Ceri,Ce,140.12,3,1,"2,8,18,19,9,2",1.12,797.9,3360,50,534.4,,412,22,6689,11,192,0.000001,1803
59,Praseodimi,Pr,140.91,3,1,"2,8,18,21,8,2",1.13,930.9,3290,50,527,247,481,29,6640,13,193,0.0000002,1885
60,Neodimi,Nd,144.24,3,1,"2,8,18,22,8,2",1.14,1021,3100,50,533.1,206,265,32,7010,17,190,0.000001,1885
61,Prometi,Pm,145,3,1,"2,8,18,23,8,2",,1100,3000,50,540,205,,33,7264,15,,0,1945
62,Samari,Sm,150.36,3,1,"2,8,18,24,8,2",1.17,1072,1803,50,544.5,238,441,38,7353,13,196,0.0000005,1879
63,Europi,Eu,151.96,3,1,"2,8,18,25,8,2",,821.9,1500,50,547.1,231,,8.3,5244,14,182,0.00000005,1901
